Antecedent,Consequent,Confidence
"View/Response messages,Manage Content Rules,Manage Content,View content reports",View Customer Account Balances,0.96875
"View Operation Reports,View Customer Account Balances,View only Login As",Manage Content Rules,0.9259259259259259
"View Operation Reports,View Customer Account Balances,View only Login As",Manage Content,0.9259259259259259
"View Operation Reports,View Customer Account Balances,View only Login As",View content reports,1.0
"View Operation Reports,View Customer Account Balances,View only Login As",View/Response messages,0.9925925925925926
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View/Response messages,View Customer Account Balances,View only Login As",View Operation Reports,0.9241379310344827
"View/Response messages,View Customer Account Balances,View only Login As",Manage Content Rules,0.8551724137931035
"View/Response messages,View Customer Account Balances,View only Login As",Manage Content,0.8551724137931035
"View/Response messages,View Customer Account Balances,View only Login As",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content Rules",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules",Manage Content,1.0
"View/Response messages,View Operation Reports,Manage Content Rules",View Customer Account Balances,1.0
"View/Response messages,View Operation Reports,Manage Content Rules",View content reports,1.0
"View Operation Reports,View Customer Account Balances,View only Login As,View content reports",Manage Content Rules,0.9259259259259259
"View Operation Reports,View Customer Account Balances,View only Login As,View content reports",Manage Content,0.9259259259259259
"View Operation Reports,View Customer Account Balances,View only Login As,View content reports",View/Response messages,0.9925925925925926
View Operation Reports,View only Login As,0.8940397350993378
View Operation Reports,Manage Content Rules,0.9337748344370861
View Operation Reports,Manage Content,0.9337748344370861
View Operation Reports,View Customer Account Balances,0.8940397350993378
View Operation Reports,View content reports,1.0
View Operation Reports,View/Response messages,0.8874172185430463
"View/Response messages,View Operation Reports,Manage Content Rules,Manage Content",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,Manage Content",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,Manage Content",View Customer Account Balances,1.0
"View/Response messages,Manage Content Rules,Manage Content",View Operation Reports,0.96875
"View/Response messages,Manage Content Rules,Manage Content",View only Login As,0.96875
"View/Response messages,Manage Content Rules,Manage Content",View content reports,1.0
"View/Response messages,Manage Content Rules,Manage Content",View Customer Account Balances,0.96875
"View Customer Account Balances,View only Login As,Manage Content",View content reports,0.9398496240601504
"View Customer Account Balances,View only Login As,Manage Content",Manage Content Rules,1.0
"View Customer Account Balances,View only Login As,Manage Content",View Operation Reports,0.9398496240601504
"View Customer Account Balances,View only Login As,Manage Content",View/Response messages,0.9323308270676691
View/Response messages,View only Login As,0.9731543624161074
View/Response messages,View Operation Reports,0.8993288590604027
View/Response messages,Manage Content Rules,0.8590604026845637
View/Response messages,Manage Content,0.8590604026845637
View/Response messages,View Customer Account Balances,0.9731543624161074
View/Response messages,View content reports,1.0
"View Customer Account Balances,View only Login As",Manage Content,0.8636363636363636
"View Customer Account Balances,View only Login As",View content reports,0.948051948051948
"View Customer Account Balances,View only Login As",Manage Content Rules,0.8636363636363636
"View Customer Account Balances,View only Login As",View Operation Reports,0.8766233766233766
"View Customer Account Balances,View only Login As",View/Response messages,0.9415584415584416
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View content reports,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View/Response messages,0.992
"View/Response messages,View Customer Account Balances,Manage Content",View Operation Reports,1.0
"View/Response messages,View Customer Account Balances,Manage Content",Manage Content Rules,1.0
"View/Response messages,View Customer Account Balances,Manage Content",View only Login As,1.0
"View/Response messages,View Customer Account Balances,Manage Content",View content reports,1.0
"View/Response messages,Manage Content Rules,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View Operation Reports,View content reports",View only Login As,0.8940397350993378
"View Operation Reports,View content reports",Manage Content Rules,0.9337748344370861
"View Operation Reports,View content reports",Manage Content,0.9337748344370861
"View Operation Reports,View content reports",View Customer Account Balances,0.8940397350993378
"View Operation Reports,View content reports",View/Response messages,0.8874172185430463
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As,View content reports",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As,View content reports",Manage Content,0.9253731343283582
